targetTitle,targetIndex,topTitle,similarity
무각사,0,"원효사, 증심사, 관음사, 천태암, 도림사, 성륜사, 송광사, 통도사, 만어사, 백련사, 수리사, 대한불교조계종 향일암","[(48, 0.5015297268566381), (67, 0.5015297268566381), (315, 0.30947886232893307), (316, 0.30947886232893307), (362, 0.30947886232893307), (364, 0.30947886232893307), (92, 0.29885832024277825), (267, 0.29549215354928793), (353, 0.2942320662593514), (109, 0.2890540566232832), (373, 0.2804695537722065), (302, 0.25548081288562463)]"
동림유적근린공원,1,"수완호수공원, 푸른길공원, 푸른길공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원, 운남동근린공원","[(72, 0.4784897873780888), (78, 0.4784897873780888), (117, 0.4784897873780888), (9, 0.46589012733847035), (14, 0.46589012733847035), (39, 0.46589012733847035), (49, 0.46589012733847035), (50, 0.46589012733847035), (62, 0.46589012733847035), (77, 0.46589012733847035), (116, 0.46589012733847035), (118, 0.46589012733847035)]"
화담사,2,"경장각, 용산재, 표충비, 구용산수위관측소, 대포해안주상절리대, 영월고씨굴, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원","[(129, 0.5273278312319729), (317, 0.34137366687913673), (347, 0.3252041112971339), (5, 0.32108807919407484), (170, 0.3143328379734995), (334, 0.3088384896500579), (72, 0.2207230410717605), (78, 0.2207230410717605), (117, 0.2207230410717605), (1, 0.2149109310669603), (9, 0.2149109310669603), (14, 0.2149109310669603)]"
당고개순교성지,3,"순교성지새남터기념성당, 순교성지새남터기념성당, 순교성지새남터기념성당, 용산신학교, 구용산수위관측소, 용산공예관, 해병대사령부초대교회, 동빙고부군당, 서빙고동 부군당, 구암근린공원, 양천고성지, 허가바위","[(377, 0.6944140404020146), (378, 0.6944140404020146), (381, 0.6944140404020146), (4, 0.43908522005315676), (5, 0.4274895718338724), (363, 0.41818938475129275), (24, 0.4128926574329099), (380, 0.4067544301156407), (379, 0.34887554166681234), (372, 0.22474925917136215), (366, 0.2214281373563254), (368, 0.2214281373563254)]"
용산신학교,4,"순교성지새남터기념성당, 순교성지새남터기념성당, 순교성지새남터기념성당, 구용산수위관측소, 당고개순교성지, 용산공예관, 해병대사령부초대교회, 동빙고부군당, 양천고성지, 허가바위, 서빙고동 부군당, 용진정사","[(377, 0.4511936157067391), (378, 0.4511936157067391), (381, 0.4511936157067391), (5, 0.4463279737796446), (3, 0.43908522005315676), (363, 0.43661795058882746), (24, 0.43108780967442917), (380, 0.42467908594963083), (366, 0.414136493942252), (368, 0.414136493942252), (379, 0.36424961887476454), (7, 0.2765722302558318)]"
구용산수위관측소,5,"용산신학교, 순교성지새남터기념성당, 순교성지새남터기념성당, 순교성지새남터기념성당, 당고개순교성지, 용산공예관, 해병대사령부초대교회, 동빙고부군당, 서빙고동 부군당, 화담사, 경장각, 용산재","[(4, 0.4463279737796446), (377, 0.43927820109567806), (378, 0.43927820109567806), (381, 0.43927820109567806), (3, 0.4274895718338724), (363, 0.4250874596270957), (24, 0.41970336227262106), (380, 0.41346388429432807), (379, 0.3546302779095441), (2, 0.32108807919407484), (129, 0.32108807919407484), (317, 0.2873930093190568)]"
월봉서원,6,"월봉서원, 광주향교, 풍암정, 포충사, 무양서원, 광양마로산성, 예림서원, 밀양향교, 광주향교, 사선대, 서빙고동 부군당, 수완호수공원","[(382, 0.886134643400528), (157, 0.6410975980303879), (36, 0.6290451450205676), (69, 0.6290451450205676), (126, 0.6290451450205676), (329, 0.46333001597394574), (349, 0.44538206711969996), (350, 0.44538206711969996), (309, 0.44095354084873284), (96, 0.42393930211985575), (379, 0.3883070823279562), (72, 0.20243472908057605)]"
용진정사,7,"부용정, 광양궁시장, 나주박경중가옥, 작원관지, 경남밀양관아, 용산신학교, 다산초당, 이성산성, 해미읍성, 양천고성지, 허가바위, 보은우당고택","[(131, 0.4898095061083802), (330, 0.2944944183171772), (105, 0.2862800690032952), (348, 0.28031653483942665), (351, 0.28031653483942665), (4, 0.2765722302558318), (108, 0.2753030772488273), (310, 0.2722295124929558), (266, 0.27216280763074163), (366, 0.2689450354859969), (368, 0.2689450354859969), (258, 0.2672233994900829)]"
황룡친수공원,8,"팔공산하늘정원, 김수환추기경사랑과나눔공원, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원","[(335, 0.3415990634442498), (336, 0.3415990634442498), (72, 0.21334916152022315), (78, 0.21334916152022315), (117, 0.21334916152022315), (1, 0.2077312215436519), (9, 0.2077312215436519), (14, 0.2077312215436519), (39, 0.2077312215436519), (49, 0.2077312215436519), (50, 0.2077312215436519), (62, 0.2077312215436519)]"
양산호수공원,9,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원, 운남동근린공원","[(72, 0.4784897873780888), (78, 0.4784897873780888), (117, 0.4784897873780888), (1, 0.46589012733847035), (14, 0.46589012733847035), (39, 0.46589012733847035), (49, 0.46589012733847035), (50, 0.46589012733847035), (62, 0.46589012733847035), (77, 0.46589012733847035), (116, 0.46589012733847035), (118, 0.46589012733847035)]"
쌍암공원,10,"풍암생활체육공원, 광주시민의숲, 5.18자유공원, 배알도수변공원, 5.18기념공원, 빛고을농촌테마공원, 순천만국가정원, 암남공원, 마한문화공원, 정양레포츠공원, 미사경정공원, 안성맞춤랜드","[(22, 0.5907377361635716), (35, 0.5907377361635716), (38, 0.5907377361635716), (106, 0.42057974399969755), (15, 0.4140567360096207), (65, 0.4140567360096207), (87, 0.40888797165294916), (207, 0.4055576764720913), (30, 0.40124313255846733), (277, 0.3997336049399045), (251, 0.3934543893255229), (396, 0.3934543893255229)]"
대인시장,11,"1913송정역시장, 서동미로시장, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원","[(128, 0.5583821998435691), (294, 0.35572194657330586), (72, 0.21334916152022315), (78, 0.21334916152022315), (117, 0.21334916152022315), (1, 0.2077312215436519), (9, 0.2077312215436519), (14, 0.2077312215436519), (39, 0.2077312215436519), (49, 0.2077312215436519), (50, 0.2077312215436519), (62, 0.2077312215436519)]"
상무시민공원,12,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원","[(72, 0.20604782645157185), (78, 0.20604782645157185), (117, 0.20604782645157185), (1, 0.20062214625175454), (9, 0.20062214625175454), (14, 0.20062214625175454), (39, 0.20062214625175454), (49, 0.20062214625175454), (50, 0.20062214625175454), (62, 0.20062214625175454), (77, 0.20062214625175454), (116, 0.20062214625175454)]"
광주월드컵경기장,13,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원","[(72, 0.20604782645157185), (78, 0.20604782645157185), (117, 0.20604782645157185), (1, 0.20062214625175454), (9, 0.20062214625175454), (14, 0.20062214625175454), (39, 0.20062214625175454), (49, 0.20062214625175454), (50, 0.20062214625175454), (62, 0.20062214625175454), (77, 0.20062214625175454), (116, 0.20062214625175454)]"
평화공원,14,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원, 운남동근린공원","[(72, 0.4784897873780888), (78, 0.4784897873780888), (117, 0.4784897873780888), (1, 0.46589012733847035), (9, 0.46589012733847035), (39, 0.46589012733847035), (49, 0.46589012733847035), (50, 0.46589012733847035), (62, 0.46589012733847035), (77, 0.46589012733847035), (116, 0.46589012733847035), (118, 0.46589012733847035)]"
5.18기념공원,15,"빛고을농촌테마공원, 쌍암공원, 풍암생활체육공원, 광주시민의숲, 5.18자유공원, 뿌리공원, 천마산조각공원, 옥포대첩기념공원, 뿌리공원, 김포국제조각공원, 배알도수변공원, 예천충효테마공원","[(65, 0.47082436022267904), (10, 0.41405673600962073), (22, 0.41405673600962073), (35, 0.41405673600962073), (38, 0.41405673600962073), (365, 0.27745672439581687), (200, 0.259628505471992), (319, 0.2566632949271681), (102, 0.2455120721975412), (17, 0.24542373544089277), (106, 0.2448756602316869), (19, 0.2444740593995275)]"
동악산등산로,16,"통명산, 관음사, 천태암, 도림사, 성륜사, 태안사계곡, 청계동계곡, 도림사계곡, 섬진강기차마을, 섬진강기차마을, 용산재, 압록상상스쿨","[(31, 0.39680905592875526), (315, 0.34853663050099615), (316, 0.34853663050099615), (362, 0.34853663050099615), (364, 0.34853663050099615), (293, 0.3441661847855605), (305, 0.3441661847855605), (306, 0.3441661847855605), (43, 0.34367195293335534), (44, 0.34367195293335534), (317, 0.34123458802305895), (162, 0.334995135487186)]"
김포국제조각공원,17,"김포아트빌리지 전통한옥숙박체험관, 미사경정공원, 안성맞춤랜드, 5.18기념공원, 빛고을농촌테마공원, 뿌리공원, 쌍암공원, 풍암생활체육공원, 광주시민의숲, 5.18자유공원, 유니온파크, 천마산조각공원","[(18, 0.4191002632526626), (251, 0.3345496807162106), (396, 0.3345496807162106), (15, 0.24542373544089277), (65, 0.24542373544089277), (365, 0.22148171995534385), (10, 0.2158328230677854), (22, 0.2158328230677854), (35, 0.2158328230677854), (38, 0.2158328230677854), (338, 0.20732703474398967), (200, 0.2072502227747022)]"
김포아트빌리지 전통한옥숙박체험관,18,"김포국제조각공원, 완주전통문화체험장, 김해한옥체험관, 유니온파크, 안성맞춤박물관, 이성산성, 박두진문학관, 수리사, 임진각관광지, 두물머리, 용문산관광단지, 동구릉","[(17, 0.4191002632526626), (403, 0.2526489149022146), (404, 0.24985085061701368), (338, 0.17137766811902766), (397, 0.1698155848512481), (310, 0.16878250792933386), (399, 0.16816862013611703), (373, 0.16429844696529494), (179, 0.1617647201188752), (248, 0.1616084844897612), (247, 0.15975692139353107), (84, 0.15900116362694605)]"
예천충효테마공원,19,"삼강강당, 5.18기념공원, 빛고을농촌테마공원, 주왕산, 뿌리공원, 쌍암공원, 풍암생활체육공원, 광주시민의숲, 5.18자유공원, 천마산조각공원, 회상나루관광지, 옥포대첩기념공원","[(20, 0.5049160207119702), (15, 0.2444740593995275), (65, 0.2444740593995275), (156, 0.2228226181996688), (365, 0.22062468841084346), (10, 0.21499765013457464), (22, 0.21499765013457464), (35, 0.21499765013457464), (38, 0.21499765013457464), (200, 0.2064482605244611), (405, 0.20605090063804504), (319, 0.20409042020197882)]"
삼강강당,20,"예천충효테마공원, 용진정사, 부용정, 광양궁시장, 나주박경중가옥, 작원관지, 경남밀양관아, 용산신학교, 다산초당, 주왕산, 이성산성, 해미읍성","[(19, 0.5049160207119702), (7, 0.26599154252923135), (131, 0.26599154252923135), (330, 0.235732593901034), (105, 0.22915729144866276), (348, 0.22438368865748148), (351, 0.22438368865748148), (4, 0.22138650237160865), (108, 0.22037058929553727), (156, 0.22024661629039582), (310, 0.21791030703767783), (266, 0.21785691210311364)]"
